,missing_in_ddb1
0,T173
1,T155
2,T156
3,T157
4,T158
5,T159
6,T160
7,T161
8,T162
9,T163
10,T164
11,T165
12,T166
13,T167
14,T168
15,T169
16,T177
17,T180
18,T181
19,T182
20,T183
21,T184
22,T185
23,T186
24,T187
25,T188
26,T190
27,M163
28,R0111
29,R0119
30,R0126
31,A0456
32,A0458
33,A0460
34,C2949
35,C3716
36,C3717
37,C3718
38,C3719
39,C3720
40,C3721
41,C3722
42,C3723
43,C3724
44,C3725
45,C3726
46,C3727
47,C3728
48,C3729
49,C3730
50,C3731
51,C3732
52,C3733
53,C3734
54,C3735
55,C3736
56,C3737
57,C3738
58,C3739
59,C3740
60,C3741
61,C3742
62,C3743
63,C3744
64,C3745
65,C3746
66,C3747
67,C3748
68,C3749
69,C3750
70,C3751
71,C3752
72,C3753
73,C3754
74,C3755
75,C3756
76,C3757
77,C3758
78,C3759
79,C3760
80,C3761
81,C3762
82,C3763
83,C3764
84,C3765
85,C3766
86,C3767
87,C3768
88,C3769
89,C3770
90,C3771
91,C3772
92,C3773
93,C3774
94,C3775
95,C3776
96,C3777
97,C3778
98,C3779
99,C3780
100,C3781
101,C3782
102,C3783
103,C3784
104,C3785
105,C3786
106,C3787
107,C3788
108,C3789
109,C3790
110,C3791
111,C3792
112,C3793
113,C3794
114,C3795
115,C3796
116,C3797
117,C3798
118,C3799
119,C3800
120,C3801
121,C3802
122,C3803
123,C3804
124,C3805
125,C3806
126,C3807
127,C3808
128,C3809
129,C3810
130,C3811
131,C3812
132,C3813
133,C3814
134,C3815
135,C3816
136,C3817
137,C3818
138,C3819
139,C3820
140,C3821
141,C3822
142,C3823
143,C3826
144,C3827
145,C3828
146,C3829
147,C3830
148,C3831
149,C3832
150,C3833
151,C3834
152,C3835
153,C3836
154,C3837
155,C3838
156,C3839
157,C3840
158,C3841
159,C3842
160,C3843
161,C3845
162,C3846
163,C3847
164,C3848
165,C3849
166,C3850
167,C3851
168,C3854
169,C3855
170,C3856
171,C3857
172,C3858
173,C3860
174,C3861
175,C3862
176,C3863
177,P0228_R0006
178,P2116_R0030
179,P2117_R0030
180,P2118_R0030
181,P2119_R0030
182,P2120_R0030
183,P2121_R0030
184,P2122_R0030
185,P2123_R0030
186,G0021_R0087
187,G0022_R0087
188,G0023_R0087
189,G0024_R0087
190,G0027_R0087
191,L0837_R0031
192,L0838_R0031
193,L0839_R0031
194,L0840_R0031
195,L0841_R0031
196,L0842_R0031
197,L0843_R0031
198,L0844_R0031
199,L0845_R0031
200,L0846_R0031
201,L0847_R0031
202,L0848_R0031
203,P0014_R0039
204,P0048_R0039
205,P0099_R0039
206,P0105_R0039
207,P0265_R0039
208,P0307_R0039
209,P0321_R0039
210,E0001.1_R0104
211,E0001.2_R0104
